% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.592748947e+01 +8.592748947e+01 +1.267074895e+02 +1.267074895e+02 -2.4116e+00 -3.2017e+00 +2.0225e+00 -8.0874e-01 +2.7983e+00 -1.2249e-01 +4.8924e+00 +1.5763e+00 -3.8292e+00 -3.8549e+00 +1.9286e+00 +2.7447e+00 -1.9336e+00 -3.0034e+00 +4.5819e+00 -4.0662e+00 -1.2714e+00 +3.9787e+00 +3.6350e+00 +3.2947e+00
282 +6.172195701e+01 +6.172195701e+01 +1.025019570e+02 +1.025019570e+02 +1.9753e+00 -2.3170e+00 -3.3998e+00 -2.6445e+00 +2.4797e+00 -5.2779e-01 +3.0428e+00 -3.1075e+00 +5.2308e+00 +1.0087e+00 +2.7517e+00 +4.6491e-01 +1.4317e+00 -2.8196e+00 -1.0273e-01 -3.6990e+00 -2.9597e+00 +4.2011e-01 +9.3891e-01 +3.4499e+00
350 +3.798363166e+01 +3.798363166e+01 +7.876363166e+01 +7.876363166e+01 +2.1276e+00 -4.3385e+00 -4.1526e+00 -9.8502e-01 -7.1830e-01 +3.9996e-01 +1.6242e+00 -2.5485e+00 +3.9070e+00 +5.5674e-01 +1.9421e+00 +6.6802e-01 -4.5474e-01 -2.9435e+00 +1.4579e+00 -3.2589e+00 -2.7837e+00 -3.1965e-02 +2.4869e-01 +2.2204e+00
503 +2.511848706e+01 +2.511848706e+01 +6.589848706e+01 +6.589848706e+01 +2.7575e+00 -4.4583e+00 -3.3012e+00 -1.2128e+00 -1.6461e+00 -1.2564e-01 +2.6487e+00 -1.1130e+00 +3.2016e+00 +7.1767e-02 +2.4558e+00 +2.2486e-01 +2.9995e-01 -3.4826e+00 +1.8028e+00 -3.2191e+00 -2.0968e+00 +1.8201e-01 +8.2309e-01 +2.5999e+00
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.627341450e+01 +8.627341450e+01 +8.467341450e+01 +8.467341450e+01 -4.4292e+00 +1.0497e+00 -1.9882e+00 +2.9136e+00 -4.7620e+00 -4.6869e+00 -2.5540e+00 +8.6282e-01 +5.1820e-01 -4.8954e+00 +2.4803e+00 +4.1434e+00 +6.3103e-01 +2.5784e-01 +1.6181e+00 -4.6682e+00 +3.6886e+00 -1.4318e+00 +1.6554e+00 -3.8771e+00
217 +4.954710232e+01 +4.954710232e+01 +4.794710232e+01 +4.794710232e+01 -4.6712e+00 +2.5367e-01 -7.4657e-02 -1.4845e+00 -4.2271e+00 +2.1747e+00 +2.0491e+00 +2.3097e+00 -9.1962e-01 -3.4901e-02 +1.7545e+00 +3.8200e+00 +1.6906e+00 +5.3950e+00 -3.1389e+00 +1.7290e-01 +5.9602e-01 -5.1657e+00 +5.4962e+00 +1.3329e+00
296 +3.939535670e+01 +3.939535670e+01 +3.779535670e+01 +3.779535670e+01 -4.8116e+00 -1.2259e+00 +7.1799e-01 -2.6559e+00 -4.3850e+00 +2.6492e+00 +2.4319e+00 +3.2721e+00 -2.4599e+00 +5.6738e-01 +8.3548e-01 +3.5105e+00 +1.9860e+00 +4.3167e+00 -2.2788e+00 -1.6698e+00 -9.3235e-01 -4.2571e+00 +5.9457e+00 +1.4209e+00
360 +2.419333662e+01 +2.419333662e+01 +2.259333662e+01 +2.259333662e+01 -5.0121e+00 -7.6002e-01 +1.1428e+00 -5.0266e+00 -4.4275e+00 +9.8862e-01 +2.8599e+00 +3.1096e+00 -2.3183e+00 +6.3793e-01 +1.1132e+00 +3.7144e+00 +1.5721e+00 +5.3777e+00 -3.1161e+00 -3.0653e-04 -1.0873e+00 -3.1243e+00 +5.0435e+00 +3.3828e-01
689 +1.583142112e+01 +1.583142112e+01 +1.423142112e+01 +1.423142112e+01 -4.7169e+00 -1.0861e+00 -3.1781e-01 -3.6891e+00 -4.3608e+00 +1.0228e+00 +1.4541e+00 +2.9859e+00 -1.9127e+00 +2.1864e+00 +2.1846e+00 +3.7078e+00 +1.7379e+00 +5.0786e+00 -3.3656e+00 +8.8141e-02 -1.0123e+00 -2.5603e+00 +4.8327e+00 -1.0566e+00
% function evaluation | noise-free fitness - Fopt (-3.708400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
