% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.128259773e+05 +5.128259773e+05 +5.129022473e+05 +5.129022473e+05 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +2.500399611e+05 +2.500399611e+05 +2.501162311e+05 +2.501162311e+05 +1.0219e-03 +9.0313e-01 +7.2241e-01 +2.9043e-01 +4.2166e-01 +8.8417e-01 +4.3392e-01 +3.9819e-01 +8.0536e-01 +3.6687e-01 +7.4835e-01 +5.2912e-01 +9.1499e-01 +1.4636e-01 +9.0307e-01 +3.2508e-01 +8.3919e-01 +2.2814e-01 +6.2968e-01 +8.7275e-02
4 +1.312600971e+05 +1.312600971e+05 +1.313363671e+05 +1.313363671e+05 +6.2927e-01 +4.4543e-01 +8.2820e-01 +3.4901e-01 +9.7584e-01 +4.3307e-01 +6.9894e-01 +7.7877e-01 +6.0877e-01 +7.5545e-01 +8.0106e-01 +6.3920e-01 +5.6602e-01 +2.9056e-01 +2.2126e-01 +7.2220e-02 +9.2075e-01 +8.2067e-02 +3.5091e-01 +7.5330e-01
5 +3.140119799e+04 +3.140119799e+04 +3.147746799e+04 +3.147746799e+04 +3.4753e-01 +3.7191e-01 +3.0267e-01 +3.7847e-01 +3.3990e-01 +6.1624e-01 +7.6289e-01 +8.4829e-01 +2.5034e-01 +8.5368e-02 +4.5272e-01 +8.4889e-01 +7.6736e-01 +4.9410e-01 +2.2908e-01 +9.7901e-01 +1.3715e-02 +3.3659e-01 +3.5994e-02 +4.0115e-01
13 +1.274290019e+04 +1.274290019e+04 +1.281917019e+04 +1.281917019e+04 +1.7794e-01 +1.2266e-01 +7.7660e-01 +6.8476e-01 +7.6318e-01 +5.6552e-01 +5.4954e-01 +4.3866e-01 +7.6286e-01 +2.4179e-01 +1.6488e-01 +9.5263e-01 +9.3011e-01 +7.7772e-01 +7.8597e-01 +7.8228e-01 +4.4455e-01 +7.4284e-01 +4.1932e-01 +9.5994e-01
26 +2.380740398e+03 +2.380740398e+03 +2.457010398e+03 +2.457010398e+03 +9.1795e-01 +4.1923e-01 +3.2585e-01 +5.5067e-02 +3.5220e-01 +8.9287e-01 +4.9193e-01 +1.8053e-01 +5.3761e-01 +4.6961e-01 +5.5114e-01 +5.8830e-01 +5.8728e-01 +5.3144e-01 +6.1550e-01 +3.5031e-01 +7.0260e-01 +4.5884e-01 +4.6360e-01 +4.6934e-01
31 +1.871842401e+03 +1.871842401e+03 +1.948112401e+03 +1.948112401e+03 +7.4767e-01 +4.4808e-01 +2.1307e-01 +4.5208e-02 +2.2924e-01 +6.9244e-01 +3.6659e-01 +1.6284e-01 +9.8880e-01 +1.4434e-01 +3.7914e-01 +3.9916e-01 +1.8196e-01 +4.8005e-01 +2.3319e-01 +2.1032e-01 +9.5935e-01 +3.5592e-01 +5.3678e-01 +8.0332e-01
60 +1.420619861e+03 +1.420619861e+03 +1.496889861e+03 +1.496889861e+03 +1.6956e-01 +5.5037e-01 +5.3235e-01 +7.4158e-01 +9.2508e-01 +4.2063e-01 +6.9392e-01 +9.8593e-01 +6.8528e-01 +8.5689e-01 +2.4750e-01 +8.3962e-01 +9.3054e-01 +9.8824e-01 +4.4219e-01 +1.4668e-01 +7.0148e-01 +7.5063e-01 +8.5575e-01 +3.7574e-01
79 +4.972317616e+02 +4.972317616e+02 +5.735017616e+02 +5.735017616e+02 +4.3203e-01 +1.6902e-01 +2.1489e-01 +9.9383e-01 +8.0603e-01 +9.7322e-01 +1.0140e-01 +1.4392e-01 +7.0930e-01 +6.5815e-01 +9.2541e-01 +5.9768e-01 +9.8381e-01 +4.1978e-01 +5.3756e-01 +4.8912e-01 +2.0488e-01 +5.5510e-01 +1.2272e-01 +8.7410e-01
95 +1.530642071e+02 +1.530642071e+02 +2.293342071e+02 +2.293342071e+02 +9.1738e-01 +7.6371e-01 +2.1480e-02 +1.4420e-01 +2.4523e-01 +8.8438e-01 +3.9025e-01 +7.2954e-01 +8.2604e-01 +3.6872e-01 +3.2171e-01 +9.0368e-01 +5.0978e-01 +8.3490e-02 +8.5069e-01 +1.6915e-01 +5.0551e-01 +8.1579e-01 +8.8385e-01 +2.5679e-01
