% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.528610690e+05 +2.528610690e+05 +2.530102190e+05 +2.530102190e+05 +4.5718e-01 +1.8715e+00 -4.2483e+00 +1.1652e+00 -1.6589e+00 -1.0747e+00 +1.9581e+00 -2.6368e+00 -3.7509e+00 +2.9428e+00 -3.8916e-01 +5.8201e-01 -9.3566e-01 +1.8108e+00 +4.4945e+00 -3.5403e+00 +7.1519e-01 -3.9821e+00 -9.2050e-01 -6.8667e-01
107 +2.068726187e+05 +2.068726187e+05 +2.070217687e+05 +2.070217687e+05 +2.9719e-01 +1.9791e+00 +2.3284e-01 +3.4427e+00 -5.3567e-01 +2.1253e+00 +3.6978e+00 -3.7512e+00 -1.9956e+00 +2.1905e+00 +1.1789e-01 -1.8219e+00 +1.8238e+00 +5.4562e-01 +2.7596e+00 -4.0637e+00 -2.4783e+00 -9.7818e-01 -7.8339e-01 -3.3487e-01
190 +1.294464998e+05 +1.294464998e+05 +1.295956498e+05 +1.295956498e+05 -3.2135e+00 +2.5003e+00 -1.1241e+00 +1.7464e+00 -1.6738e+00 +8.0822e-01 -8.3305e-02 -4.4111e+00 -3.6181e+00 -1.0399e+00 -2.7956e+00 -1.2155e-01 +5.3939e+00 -2.9823e-01 +1.6558e+00 +8.8526e-01 -5.4268e+00 -1.9838e+00 -2.0599e-01 +2.6538e+00
196 +9.588083613e+04 +9.588083613e+04 +9.602998613e+04 +9.602998613e+04 -4.8640e+00 +2.7137e+00 -2.2622e+00 +2.8712e+00 -1.9380e-01 +1.0150e+00 -2.3524e+00 -4.7200e+00 -2.9162e+00 -2.0121e+00 -2.3607e+00 -1.3842e-01 +4.7827e+00 -1.0982e+00 +6.4021e-01 +3.2312e-01 -3.4073e+00 -1.4169e+00 -2.3903e-01 +2.2006e+00
215 +4.709747943e+04 +4.709747943e+04 +4.724662943e+04 +4.724662943e+04 -3.7779e+00 +1.8289e+00 +1.1639e-02 +3.5552e+00 -2.2984e+00 +6.6708e-01 -5.3634e-01 -3.1816e+00 -3.4310e+00 -1.3505e+00 -3.4061e+00 -1.6760e+00 +3.7006e+00 -1.6553e+00 +2.6371e-01 +8.1161e-01 -6.6538e-01 -3.1231e+00 -6.2540e+00 +3.0866e+00
267 +3.019988168e+04 +3.019988168e+04 +3.034903168e+04 +3.034903168e+04 -2.4351e+00 +1.5441e+00 +7.8247e-01 +3.5958e+00 -3.0257e+00 -3.5024e-01 -4.7738e-02 -4.3761e+00 -3.2886e+00 -2.1304e+00 -2.2027e+00 -2.7658e-01 +9.7120e-01 -1.4814e+00 +9.7058e-01 -6.9063e-01 -9.5235e-01 -4.2953e-01 -4.8187e+00 +2.3764e+00
284 +2.497785788e+04 +2.497785788e+04 +2.512700788e+04 +2.512700788e+04 -7.7099e-01 +1.5198e+00 +1.7993e+00 +2.2910e+00 -3.1344e+00 -7.2776e-02 -1.3404e+00 -3.2963e+00 -1.7496e+00 -1.6523e+00 -3.6170e+00 +7.4593e-01 +1.6309e+00 -5.9429e-01 +1.4973e+00 -5.0337e-01 +1.3072e-01 +1.1882e+00 -3.3228e+00 +2.1188e+00
305 +9.855032740e+03 +9.855032740e+03 +1.000418274e+04 +1.000418274e+04 -6.5996e-01 -3.4817e-01 +1.3956e+00 +2.5293e+00 -4.3150e+00 -1.9271e-02 -5.9598e-01 -2.1231e+00 -2.1110e+00 -1.6931e+00 -1.9355e+00 +9.7179e-01 +3.2847e+00 -2.9006e-01 -1.1681e+00 -1.5151e+00 -2.3976e+00 +8.0017e-01 -2.9125e+00 +1.8762e+00
348 +5.605577398e+03 +5.605577398e+03 +5.754727398e+03 +5.754727398e+03 -8.7459e-01 -1.0359e+00 -7.7734e-01 +2.2161e+00 -2.5691e+00 -9.4382e-01 -3.1038e-02 -1.4431e+00 -1.7072e+00 -8.3593e-01 -3.4459e+00 +1.1234e-01 +3.8767e+00 -1.4676e-01 -1.8092e+00 -2.6404e-01 -1.5361e+00 +5.9258e-01 -1.3812e+00 +2.5078e+00
379 +3.802850826e+03 +3.802850826e+03 +3.952000826e+03 +3.952000826e+03 -1.8371e+00 -3.0289e+00 +6.1921e-01 +1.6599e+00 -2.3822e+00 -5.0975e-01 -6.6663e-02 -1.5213e+00 -2.2161e+00 -4.8743e-01 -3.7434e+00 +1.0723e+00 +2.4647e+00 -2.6431e-01 -1.7773e+00 -9.1779e-01 -1.7380e+00 -1.5139e-02 -1.6455e-02 +3.7518e+00
