% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.748987651e+03 +2.748987651e+03 +2.286897651e+03 +2.286897651e+03 +3.1449e+00 +2.5382e+00 -2.3840e+00 +4.9746e+00 +4.6061e+00 +1.6981e+00 +3.3525e+00 +4.8242e-01 +1.5906e+00 -4.7248e+00 -2.9336e+00 +3.7617e+00 +2.0129e+00 +2.3049e+00 -4.5284e+00 -2.5753e+00 -8.7104e-01 -3.4701e+00 +1.9079e+00 +3.3333e+00
51 +2.067718348e+03 +2.067718348e+03 +1.605628348e+03 +1.605628348e+03 +6.0696e+00 +7.9015e+00 -1.3625e+00 +4.8178e+00 +8.9005e+00 +5.3828e+00 +6.9014e+00 +2.0658e+00 +1.6626e+00 +4.4087e-01 -2.7912e+00 +1.0038e+00 -3.8183e+00 +1.8280e+00 -2.4828e+00 -6.5612e+00 +2.5593e+00 -6.9514e+00 -2.1379e+00 +1.4964e+00
62 +1.404235757e+03 +1.404235757e+03 +9.421457574e+02 +9.421457574e+02 +3.8408e+00 +8.6796e+00 +5.0548e-01 +5.0557e+00 +1.0769e+01 +2.1571e+00 +3.6285e+00 +4.5594e+00 +6.3664e-01 -3.4320e+00 -4.5060e+00 -6.6840e-01 -5.1766e-01 -2.0791e+00 -3.0378e+00 -7.0111e+00 +1.3785e+00 -5.9757e+00 -4.0417e+00 -2.4029e-01
113 +8.621783590e+02 +8.621783590e+02 +4.000883590e+02 +4.000883590e+02 +7.4227e+00 +5.3054e+00 -6.3434e+00 +1.3411e+00 +5.4097e+00 -5.3144e-01 +4.3120e+00 +2.1255e+00 +6.2183e+00 +3.7271e+00 -1.8801e+00 -2.1324e+00 +3.4348e+00 -4.1886e+00 -5.1874e+00 -1.4156e+00 +7.1460e-02 +2.1783e+00 -4.2437e+00 +2.3746e+00
197 +5.742107817e+02 +5.742107817e+02 +1.121207817e+02 +1.121207817e+02 -5.4630e-01 +6.9426e+00 -5.9562e+00 +2.1140e+00 +7.3457e+00 +4.8547e+00 +1.0175e+00 -1.7685e+00 +2.3610e+00 -1.2063e-01 -5.8849e-02 -1.6974e+00 -2.8913e+00 -2.6967e+00 -4.4773e-01 -4.2351e+00 -1.8198e+00 +1.8281e+00 -1.6101e+00 +2.2749e+00
417 +3.886934852e+02 +3.886934852e+02 -7.339651485e+01 -7.339651485e+01 -9.9216e-01 +7.8720e+00 -1.8913e+00 +1.8667e+00 +7.4843e+00 +4.1757e+00 +6.6084e-01 +4.5131e-01 +2.9952e+00 -2.4235e+00 -2.8823e+00 -2.2455e+00 -1.3643e+00 -2.6144e+00 -3.6062e+00 -4.4156e+00 -1.4524e+00 +2.9352e+00 -2.5093e+00 +1.1898e+00
950 +2.503530145e+02 +2.503530145e+02 -2.117369855e+02 -2.117369855e+02 -1.3470e+00 +7.8263e+00 -1.9411e+00 +1.5975e+00 +6.9647e+00 +3.5226e+00 +1.2544e+00 +7.2414e-01 +2.8819e+00 -2.2543e+00 -2.1904e+00 -1.8645e+00 -1.4594e+00 -3.3643e+00 -4.0092e+00 -3.4631e+00 -1.1766e+00 +3.7661e+00 -2.4136e+00 +1.1495e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.507325945e+03 +2.507325945e+03 +2.584985945e+03 +2.584985945e+03 +4.2602e+00 +6.5626e-02 +2.9355e+00 +4.8407e+00 +2.3383e+00 +5.4064e-01 -7.3638e-01 -3.5853e-01 +6.1758e-02 -1.3899e+00 +2.7052e+00 +1.1764e-01 -2.9386e+00 -4.7103e+00 -4.1838e+00 -1.8596e-01 +4.6002e+00 -1.3552e+00 -2.8347e+00 +1.9167e+00
34 +1.466681513e+03 +1.466681513e+03 +1.544341513e+03 +1.544341513e+03 +6.2190e+00 -5.2623e+00 +4.7961e+00 -4.1882e+00 +2.6096e+00 +1.3968e+00 -7.8385e+00 -1.3363e+00 +3.1716e+00 +1.0238e+00 +1.3146e+00 -4.1246e+00 +1.0420e+00 -5.2477e+00 -2.7873e+00 +2.0315e+00 +3.5092e-01 -5.6723e+00 +4.9629e+00 +3.3891e-01
139 +9.245143351e+02 +9.245143351e+02 +1.002174335e+03 +1.002174335e+03 +4.4496e+00 -2.3349e+00 +5.2045e+00 -4.4660e+00 +7.0396e+00 -1.4577e+00 +4.2359e-01 +2.4830e+00 +4.0690e+00 +1.2501e-01 +6.1659e+00 -3.5022e+00 -2.4082e+00 -1.0302e+00 -1.1834e+00 -3.3183e-01 -1.0040e+00 -7.9727e-01 +3.2033e+00 -3.9510e+00
200 +6.069160670e+02 +6.069160670e+02 +6.845760670e+02 +6.845760670e+02 +3.1196e-01 -1.4340e+00 -2.8287e-01 -3.6839e+00 +1.0989e+00 -4.4744e+00 +2.8127e+00 -1.6766e+00 -4.1521e+00 -4.2445e-01 +4.3868e+00 -8.6312e-01 -5.2179e+00 -2.2009e+00 -5.8468e+00 +1.3929e+00 +1.0310e+00 -3.9544e+00 +4.1151e+00 -2.4882e+00
251 +3.449826009e+02 +3.449826009e+02 +4.226426009e+02 +4.226426009e+02 +6.5066e-01 -1.4996e+00 +2.8583e-01 -1.4518e+00 +1.5504e+00 -7.4626e-01 +2.5177e+00 +2.5446e-01 -1.5904e+00 -9.2269e-01 +4.9276e+00 +7.7073e-01 -1.5742e+00 -1.6290e+00 -3.7362e+00 +2.1228e+00 +1.5715e+00 -4.0987e+00 +3.4918e+00 -3.7843e+00
439 +2.481016301e+02 +2.481016301e+02 +3.257616301e+02 +3.257616301e+02 +1.5716e+00 -2.9430e+00 +1.2438e+00 +1.2430e-01 +1.0721e+00 -1.8449e+00 +2.5689e+00 -1.9136e-01 -1.3188e+00 -2.9538e+00 +3.7100e+00 +6.0961e-01 -2.2182e+00 -9.9286e-01 -2.7751e+00 +1.6916e+00 -2.8406e-01 -2.7548e+00 +3.3852e+00 -3.4873e+00
673 +1.583652271e+02 +1.583652271e+02 +2.360252271e+02 +2.360252271e+02 +1.3660e+00 -2.9626e+00 +1.2314e+00 -1.5607e-01 +1.1277e+00 -1.2456e+00 +2.5877e+00 +1.5291e-01 -1.5087e+00 -3.0824e+00 +3.4526e+00 +6.5299e-01 -2.1895e+00 -1.6219e+00 -2.8365e+00 +1.8300e+00 +1.9681e-01 -2.7982e+00 +3.4097e+00 -3.4963e+00
