1: x1='2.5', x2='7.5'
2: x1='5.030885439834895', x2='12.851748723437252'
3: x1='-2.8000155416175687', x2='3.2837343733863884'
4: x1='6.1715075761746405', x2='0.6139380182848703'
5: x1='-3.690634683228348', x2='9.284952875754515'
6: x1='0.0978813380420318', x2='13.906401294421974'
7: x1='5.678538571404044', x2='8.049176829833632'
8: x1='8.783495101501508', x2='2.2905378999504804'
9: x1='1.397719223793362', x2='6.051611197266399'
10: x1='9.902123486846255', x2='8.2062965358451'
11: x1='-2.9233361659463637', x2='3.917703333015315'
12: x1='5.853382463053821', x2='2.0563346285249597'
13: x1='7.051093176737465', x2='11.296631159623216'
14: x1='6.833144652882984', x2='9.668068868076249'
15: x1='9.79879204167371', x2='11.101789426979943'
16: x1='8.191465756051743', x2='7.330456459829172'
17: x1='8.624406538958874', x2='11.403634013525346'
18: x1='8.41921918290664', x2='9.718715912876604'
19: x1='8.702661984328108', x2='11.376127181664518'
20: x1='5.560671929084355', x2='3.999962201436017'
21: x1='9.66987223438793', x2='11.353682331381066'
22: x1='0.7339526904246139', x2='4.571793946323801'
23: x1='9.469663264609554', x2='9.431150839379791'
24: x1='9.298606333944704', x2='14.922557493092228'
25: x1='9.230481143481175', x2='2.9366264274508946'
26: x1='9.5262507410136', x2='2.098069627639979'
27: x1='9.783206103217921', x2='2.8763715230742797'
28: x1='7.185134405970839', x2='3.828291919741709'
29: x1='9.650009861937999', x2='3.4522452888606825'
30: x1='0.10607857564825007', x2='4.04277840966485'
31: x1='9.281430660186478', x2='3.9676895908024568'
32: x1='4.386559839145395', x2='9.068780260063185'
33: x1='9.572015180205792', x2='9.461907952640724'
34: x1='-0.4882798446618226', x2='10.164973075021384'
35: x1='8.915065105416467', x2='9.460741083268111'
36: x1='4.738653135533237', x2='4.195789579050068'
37: x1='9.68309589713138', x2='3.101082953602374'
38: x1='8.579542006391973', x2='2.1607000711139515'
39: x1='9.5262507410136', x2='3.0506735588298217'
40: x1='5.456567749779097', x2='4.19484982973038'
41: x1='9.319299269463908', x2='3.058522048312289'
42: x1='1.1037503445278087', x2='4.569326002799141'
43: x1='9.230481143481175', x2='3.0989766738517472'
44: x1='9.796035724453448', x2='3.1268785084282724'
45: x1='7.6379107056519295', x2='12.73756342664195'
46: x1='9.255972932384001', x2='3.148760085793798'
47: x1='2.0777315768041973', x2='11.131528465882742'
48: x1='9.50966437750764', x2='3.1412769943997794'
49: x1='-0.7129762629104635', x2='7.108030589381696'
50: x1='9.318520888059224', x2='3.1176797719269644'
51: x1='-1.7476724217206314', x2='10.419066957910077'
52: x1='9.561242028640027', x2='3.1874663039100453'
53: x1='3.982901368315762', x2='6.769662607675227'
54: x1='9.285573683029062', x2='3.205127263359013'
55: x1='9.650009861937999', x2='3.257388918878333'
56: x1='9.043314901176297', x2='3.0793691826305505'
57: x1='9.608174795928974', x2='3.276286852622952'
58: x1='-3.9599237439303074', x2='3.9272634104831745'
59: x1='9.495894011726108', x2='3.2964663372547705'
60: x1='6.60731684592476', x2='5.169683858945031'
61: x1='9.449300524480691', x2='3.37323051909375'
62: x1='4.9614959201697175', x2='10.90628196364751'
63: x1='9.568131911779826', x2='3.3482716416527794'
64: x1='4.8871519928895175', x2='11.331679505122972'
65: x1='8.75866935284266', x2='2.6748910949520788'
66: x1='8.587600714099292', x2='2.9227380313067948'
67: x1='5.895608216898811', x2='6.713130264804174'
68: x1='8.714605507417025', x2='3.180733418742672'
69: x1='-3.6990792505535763', x2='2.4707645553536266'
70: x1='8.579542006391973', x2='2.850299723690429'
71: x1='4.447175304831083', x2='13.409740790616112'
72: x1='8.678896138539875', x2='2.8945942301290373'
73: x1='-3.193300561268606', x2='6.372616076514909'
74: x1='8.645598877329967', x2='3.0545266967681046'
75: x1='4.298632969590614', x2='0.19398637976606625'
76: x1='8.63845482519251', x2='2.416654843431199'
77: x1='0.1284982168445863', x2='0.09035382250472179'
78: x1='6.903042710400138', x2='13.47272483539286'
79: x1='0.9286897618307517', x2='0.026536435292495164'
80: x1='2.672079129061636', x2='10.861050209054765'
81: x1='2.975232719800072', x2='0.17820504703089657'
82: x1='6.80348514867865', x2='5.029102564570201'
83: x1='-0.6363546179768473', x2='0.21087967874903246'
84: x1='6.471305779480593', x2='14.143041076312022'
85: x1='-0.9605931145309041', x2='0.03711468595996137'
86: x1='-0.5500932355352433', x2='8.910577598183007'
87: x1='-0.9115836715557313', x2='0.025654973438504203'
88: x1='8.556685779960489', x2='4.213326902375868'
89: x1='4.203232905076222', x2='14.040131376316525'
90: x1='9.302239638628903', x2='5.049809106041706'
91: x1='-4.972238549994422', x2='1.8141354569132195'
92: x1='9.45267644144796', x2='5.011387289461146'
93: x1='-3.466994685001203', x2='11.976752896847357'
94: x1='8.965528555912835', x2='4.971793872450244'
95: x1='2.8352381967636964', x2='11.985115707802185'
96: x1='9.206607580135199', x2='4.932743827173551'
97: x1='0.9288652019459978', x2='7.9225781830756885'
98: x1='9.091218288402263', x2='4.961430995124804'
99: x1='-4.930614983865971', x2='12.034219246354299'
100: x1='-1.4718071322587045', x2='4.952261677483624'
