% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.206732353e+07 +3.206732353e+07 +3.206726859e+07 +3.206726859e+07 -8.0452e-01 +9.6114e-01 +2.7225e+00 +2.0561e+00 -4.5732e+00 +4.4281e+00 -9.5201e-01 +3.8719e+00 +4.5219e+00 +4.8564e+00 +1.8262e+00 +2.8168e+00 +3.9158e+00 +9.5406e-01 -5.9154e-01 +4.1355e+00 +1.3674e+00 -1.2378e+00 +4.2261e+00 -1.2370e+00
2 +1.463277782e+07 +1.463277782e+07 +1.463272288e+07 +1.463272288e+07 -4.3382e+00 +1.1506e+00 +5.4556e+00 +5.4591e+00 +2.5918e+00 +2.9863e+00 -1.7758e+00 -8.1685e-01 -3.0277e+00 +3.2819e-01 -2.6218e+00 -2.2716e+00 -1.6273e+00 -2.4571e+00 -4.3280e+00 +1.0256e+00 +3.3366e+00 -7.2673e+00 +1.1549e+01 -6.0652e+00
78 +8.788204052e+06 +8.788204052e+06 +8.788149112e+06 +8.788149112e+06 -2.0680e+01 +2.6964e+00 +1.1029e+01 +1.1859e+01 -1.1053e+00 +7.5900e+00 -2.1089e+00 -4.9350e+00 -1.0911e+01 +1.8480e+00 -2.6827e-01 -4.5421e+00 +1.8556e+00 -2.4825e+00 -2.0380e+00 -3.7163e+00 +4.0046e+00 -1.7374e+01 +4.1794e+00 +1.5488e+00
94 +5.130423975e+06 +5.130423975e+06 +5.130369035e+06 +5.130369035e+06 -1.6129e+01 +5.1819e+00 +6.1611e+00 +1.3372e+01 +7.1865e-01 +3.8010e+00 -9.4165e+00 -5.4492e+00 -1.5053e+01 -5.1621e-01 +1.9040e+00 -4.5037e+00 +5.7078e+00 -4.9204e+00 +6.3900e+00 -1.9330e+00 +8.7905e+00 -2.2341e+01 -1.5598e+00 +1.1146e+00
211 +3.413309982e+06 +3.413309982e+06 +3.413255042e+06 +3.413255042e+06 -1.7784e+01 +4.2278e+00 +5.7453e+00 +1.7144e+01 -3.2623e-01 +3.9189e+00 -8.8422e+00 -1.6348e+00 -1.4416e+01 +4.6555e+00 +3.2184e+00 +6.4553e-01 +7.2552e+00 -2.3748e+00 +8.7697e+00 -2.5459e+00 +8.6160e+00 -2.1749e+01 -1.4679e+00 -3.6896e+00
245 +2.011604039e+06 +2.011604039e+06 +2.011549099e+06 +2.011549099e+06 -1.7123e+01 +3.7772e+00 +4.4406e+00 +1.7128e+01 +1.7211e+00 +4.0752e+00 -8.3867e+00 -3.7182e+00 -1.3251e+01 +5.4807e+00 +1.1630e+00 -6.2720e-01 +7.9479e+00 -1.8942e+00 +8.5718e+00 -8.5505e-01 +7.8242e+00 -2.2486e+01 -7.4572e-01 -3.4204e+00
283 +1.454840139e+06 +1.454840139e+06 +1.454785199e+06 +1.454785199e+06 -1.8090e+01 +3.3989e+00 +4.5363e+00 +1.8413e+01 +3.4359e+00 +5.0107e+00 -4.9507e+00 -4.8946e+00 -1.2961e+01 +4.1219e+00 +1.4287e+00 +2.2664e+00 +7.9300e+00 -1.1688e+00 +1.0627e+01 -1.2531e+00 +8.2159e+00 -2.1462e+01 -8.8086e-01 -4.1410e+00
306 +6.811458573e+05 +6.811458573e+05 +6.810909173e+05 +6.810909173e+05 -1.8003e+01 +1.6138e+00 +4.4202e+00 +2.2664e+01 +7.7669e-01 +5.7131e+00 -7.0283e+00 -3.7820e+00 -1.1907e+01 +7.5930e+00 +2.4431e+00 +3.2615e+00 +7.3342e+00 +4.1388e-01 +1.1704e+01 -1.9476e+00 +5.5176e+00 -2.0999e+01 -1.3329e+00 -7.8461e+00
310 +6.247296338e+05 +6.247296338e+05 +6.246746938e+05 +6.246746938e+05 -1.8158e+01 +1.8053e+00 +5.0454e+00 +2.2090e+01 +3.3166e-01 +5.8961e+00 -6.8724e+00 -4.3999e+00 -1.1603e+01 +7.5317e+00 +2.6399e+00 +2.8071e+00 +7.6960e+00 -2.0308e-02 +1.1915e+01 -1.0167e+00 +5.4384e+00 -2.0822e+01 -2.1334e+00 -7.8567e+00
345 +3.520546109e+05 +3.520546109e+05 +3.519996709e+05 +3.519996709e+05 -1.8363e+01 +8.3970e-01 +4.1451e+00 +2.1624e+01 +1.0978e+00 +5.8734e+00 -7.3190e+00 -4.8601e+00 -1.0498e+01 +7.8405e+00 +1.6224e+00 +1.6014e+00 +7.3456e+00 +2.0774e-01 +1.0961e+01 -1.0497e+00 +3.7341e+00 -2.1327e+01 -2.4283e+00 -8.2281e+00
