% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.272570875e+02 +1.272570875e+02 +2.201970875e+02 +2.201970875e+02 -2.6105e+00 -2.4761e+00 -1.2895e-01 -2.6877e+00 +2.5039e+00
22 +6.452434398e+01 +6.452434398e+01 +1.574643440e+02 +1.574643440e+02 -4.0123e+00 +1.0917e+00 -2.9148e+00 -4.2832e+00 +1.2432e+00
32 +3.383964942e+01 +3.383964942e+01 +1.267796494e+02 +1.267796494e+02 -3.4774e+00 +1.3100e+00 -2.7381e+00 -3.2233e+00 +3.7995e-01
74 +1.965204809e+01 +1.965204809e+01 +1.125920481e+02 +1.125920481e+02 -2.2206e+00 +1.3984e+00 -2.1436e+00 -1.4511e+00 +2.1251e-01
108 +1.316500311e+01 +1.316500311e+01 +1.061050031e+02 +1.061050031e+02 -2.3471e+00 +1.1013e+00 -1.6445e+00 -4.4450e-02 +2.1179e+00
137 +7.352275592e+00 +7.352275592e+00 +1.002922756e+02 +1.002922756e+02 -1.7194e+00 +1.0324e+00 -1.0474e+00 +3.5500e-01 +1.4859e+00
157 +6.101698892e+00 +6.101698892e+00 +9.904169889e+01 +9.904169889e+01 -1.2987e+00 +1.4840e-01 -9.2378e-01 +1.6910e-01 +1.4730e+00
175 +2.502280362e+00 +2.502280362e+00 +9.544228036e+01 +9.544228036e+01 -7.1892e-01 +8.2327e-01 -5.9370e-01 +7.6134e-01 +1.1366e+00
2027 +7.299341378e-01 +7.299341378e-01 +9.366993414e+01 +9.366993414e+01 -3.4014e-01 +7.9128e-01 -7.5994e-02 +1.5416e+00 +1.2661e+00
2178 +5.129245573e-01 +5.129245573e-01 +9.345292456e+01 +9.345292456e+01 -1.3907e-01 +8.1702e-01 +9.3415e-02 +2.4816e+00 +1.7975e+00
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.674881966e+03 +1.674881966e+03 +1.710231966e+03 +1.710231966e+03 -2.0179e-01 -4.6282e+00 -4.4524e+00 -7.8750e-01 -4.2669e+00
12 +1.178675116e+03 +1.178675116e+03 +1.214025116e+03 +1.214025116e+03 +2.4893e+00 +1.9342e+00 -5.3699e+00 +2.2841e-01 +9.3729e-01
14 +6.521875698e+02 +6.521875698e+02 +6.875375698e+02 +6.875375698e+02 +1.6560e+00 +5.1312e+00 -9.1042e-01 +8.6991e+00 -3.4717e+00
22 +6.030276131e+02 +6.030276131e+02 +6.383776131e+02 +6.383776131e+02 +7.5773e+00 +7.5299e+00 -2.5128e+00 +1.0734e+01 +3.7231e+00
57 +1.676128134e+02 +1.676128134e+02 +2.029628134e+02 +2.029628134e+02 +4.6013e+00 +6.9627e+00 +1.7529e+00 +6.9084e+00 +2.1970e+00
70 +9.500908033e+01 +9.500908033e+01 +1.303590803e+02 +1.303590803e+02 +2.6858e+00 +4.9543e+00 +2.9450e+00 +7.2257e+00 +1.0573e+00
73 +4.959254916e+01 +4.959254916e+01 +8.494254916e+01 +8.494254916e+01 -4.5305e-01 +4.3715e+00 +4.2233e+00 +4.9612e+00 -1.3024e-01
85 +2.969233546e+01 +2.969233546e+01 +6.504233546e+01 +6.504233546e+01 -3.4915e-01 +5.9025e+00 +2.9099e+00 +2.4454e+00 -1.6239e+00
100 +2.427462047e+01 +2.427462047e+01 +5.962462047e+01 +5.962462047e+01 +8.3890e-01 +5.6775e+00 +3.3195e+00 +3.5716e+00 -1.7139e+00
104 +1.532764569e+01 +1.532764569e+01 +5.067764569e+01 +5.067764569e+01 -9.6849e-02 +7.0266e+00 +1.5678e+00 +3.0420e+00 -2.3470e+00
113 +6.315047834e+00 +6.315047834e+00 +4.166504783e+01 +4.166504783e+01 +4.4600e-01 +4.9797e+00 +2.6299e+00 +3.0509e+00 -1.9135e+00
141 +5.666037023e+00 +5.666037023e+00 +4.101603702e+01 +4.101603702e+01 +3.5075e-01 +5.3829e+00 +2.5816e+00 +2.5057e+00 -1.8917e+00
166 +3.978719238e+00 +3.978719238e+00 +3.932871924e+01 +3.932871924e+01 +2.7088e-01 +5.3168e+00 +2.7676e+00 +2.6635e+00 -2.1424e+00
% function evaluation | noise-free fitness - Fopt (3.820000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.875631107e+03 +1.875631107e+03 +1.879451107e+03 +1.879451107e+03 -3.4711e+00 +2.9556e+00 -4.3785e+00 +4.4489e-01 -2.7693e+00
3 +1.053501999e+03 +1.053501999e+03 +1.057321999e+03 +1.057321999e+03 -3.4871e+00 +1.5014e+01 -4.0387e+00 -5.4245e+00 -6.6653e-01
11 +8.050681194e+02 +8.050681194e+02 +8.088881194e+02 +8.088881194e+02 -3.8344e-02 +1.8672e+01 -9.7025e+00 -2.8483e+00 -2.6533e+00
12 +3.525927249e+02 +3.525927249e+02 +3.564127249e+02 +3.564127249e+02 +4.0860e+00 +1.4731e+01 -1.2723e+01 -9.1456e+00 -5.6449e+00
