% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.977281728e+01 +8.977281728e+01 +1.692528173e+02 +1.692528173e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
11 +8.711178724e+01 +8.711178724e+01 +1.665917872e+02 +1.665917872e+02 +9.6181e-01 +6.7677e-02 +4.3215e-01 +9.4758e-01 +1.9865e-01 +6.1448e-01 +4.0845e-01 +2.9987e-01 +1.4069e-01 +6.1709e-01 +3.9972e-02 +2.3058e-01 +1.2359e-01 +4.6649e-02 +5.1924e-01 +9.7511e-01 +8.8338e-01 +5.5087e-01 +5.1932e-01 +8.3217e-01
188 +8.633846306e+01 +8.633846306e+01 +1.658184631e+02 +1.658184631e+02 +2.3313e-01 +7.6765e-01 +4.7959e-01 +3.5874e-01 +2.3567e-01 +6.9073e-01 +2.4269e-01 +7.8992e-01 +2.3131e-01 +1.2589e-01 +1.2024e-01 +6.2713e-01 +4.6602e-01 +7.6841e-01 +2.1799e-01 +8.1609e-01 +8.8846e-01 +2.4389e-01 +9.5844e-01 +5.7272e-01
359 +8.343214754e+01 +8.343214754e+01 +1.629121475e+02 +1.629121475e+02 +1.3324e-01 +5.0990e-01 +4.3940e-01 +4.8174e-01 +3.6500e-02 +1.7064e-01 +4.9744e-01 +9.9553e-01 +8.4597e-01 +3.3942e-01 +2.2697e-01 +6.9952e-01 +5.4712e-01 +2.7447e-01 +9.7498e-01 +9.2699e-01 +9.0029e-01 +2.3610e-01 +8.2955e-01 +7.9138e-01
807 +8.208412108e+01 +8.208412108e+01 +1.615641211e+02 +1.615641211e+02 +1.5691e-01 +4.0204e-01 +1.7715e-01 +3.1127e-01 +7.5361e-01 +5.3276e-01 +3.5995e-01 +7.1410e-01 +8.9400e-02 +1.5594e-01 +8.7704e-02 +9.9500e-01 +4.5107e-01 +8.4024e-01 +9.2595e-01 +9.7234e-01 +7.5272e-01 +8.9165e-04 +4.2002e-01 +9.3883e-02
1868 +8.120391023e+01 +8.120391023e+01 +1.606839102e+02 +1.606839102e+02 +6.3855e-02 +5.3196e-01 +3.3243e-01 +8.9352e-01 +3.9066e-01 +3.1542e-01 +7.8316e-01 +2.7935e-01 +2.5225e-01 +1.2589e-01 +1.2024e-01 +6.2713e-01 +4.6602e-01 +7.6841e-01 +8.1932e-01 +8.1609e-01 +8.8846e-01 +2.4389e-01 +9.7583e-01 +5.7272e-01
15002 +7.935651905e+01 +7.935651905e+01 +1.588365191e+02 +1.588365191e+02 +7.2736e-01 +8.4860e-02 +1.1225e-01 +6.3549e-01 +3.1972e-01 +8.6508e-01 +2.8945e-01 +2.7935e-01 +2.5225e-01 +1.2589e-01 +1.2024e-01 +6.2713e-01 +4.6602e-01 +7.6841e-01 +8.1932e-01 +8.1609e-01 +8.8846e-01 +2.4389e-01 +9.7583e-01 +5.7272e-01
23617 +7.675844946e+01 +7.675844946e+01 +1.562384495e+02 +1.562384495e+02 +2.6718e-01 +8.4860e-02 +1.1225e-01 +6.3549e-01 +3.1972e-01 +8.6508e-01 +2.8945e-01 +2.7935e-01 +2.5225e-01 +1.2589e-01 +1.2024e-01 +6.2713e-01 +4.6602e-01 +7.6841e-01 +8.1932e-01 +8.1609e-01 +2.4406e-01 +8.8499e-02 +9.8016e-01 +7.1091e-01
48406 +7.470658655e+01 +7.470658655e+01 +1.541865865e+02 +1.541865865e+02 +4.6510e-02 +3.3268e-02 +7.7868e-02 +4.1314e-01 +4.1337e-02 +6.7153e-03 +5.7646e-01 +9.7851e-01 +1.2687e-01 +4.1509e-03 +1.2024e-01 +9.3428e-01 +4.6602e-01 +7.6841e-01 +8.1932e-01 +8.1609e-01 +2.4406e-01 +8.8499e-02 +9.8016e-01 +7.1091e-01
57914 +7.357627694e+01 +7.357627694e+01 +1.530562769e+02 +1.530562769e+02 +1.3300e-01 +1.5674e-01 +2.1724e-01 +6.3008e-01 +5.6694e-02 +2.6602e-01 +7.2419e-01 +4.2629e-01 +1.2687e-01 +4.1509e-03 +1.2024e-01 +8.0772e-01 +6.3826e-01 +1.7824e-01 +8.1932e-01 +8.1609e-01 +2.4406e-01 +8.8499e-02 +9.8016e-01 +7.1091e-01
