% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.161100939e+03 +2.161100939e+03 +3.161100939e+03 +3.161100939e+03 -3.2811e+00 -8.4826e-01 -4.5248e+00 +4.4601e+00 -4.2665e+00 -1.6563e+00 +2.1004e+00 +2.8598e+00 -1.7599e+00 +9.3846e-01 +2.9535e+00 +1.5280e+00 -2.1249e+00 +1.6266e+00 -3.5434e+00 -4.7401e+00 -4.3179e+00 +3.0786e+00 +2.6993e+00 +2.7131e+00
78 +1.407224145e+03 +1.407224145e+03 +2.407224145e+03 +2.407224145e+03 -2.7556e+00 -8.1121e-01 -2.8195e+00 +1.4992e+00 +3.7086e+00 +2.3124e+00 -5.5203e+00 +1.1041e+00 -3.3015e+00 +6.9789e-01 -9.0379e-01 -6.2456e+00 +4.3642e+00 -2.7344e+00 -1.0457e+00 -2.7142e+00 +1.5171e+00 +8.9319e-01 +6.3941e+00 -1.6254e+00
156 +9.465122299e+02 +9.465122299e+02 +1.946512230e+03 +1.946512230e+03 -4.1788e-01 +4.2586e-01 +3.4741e-01 +1.5338e+00 +1.8042e+00 -9.1783e-01 -1.3793e+00 +5.8822e+00 -2.5539e+00 -5.2872e+00 -5.8550e+00 -5.4105e+00 -1.1043e+00 -5.4244e+00 +3.9987e+00 -2.9162e+00 +6.8579e+00 +7.8487e-01 +6.1626e+00 -3.9361e+00
211 +5.810245459e+02 +5.810245459e+02 +1.581024546e+03 +1.581024546e+03 -1.3932e+00 +4.8657e+00 +1.2543e+00 +2.3471e+00 +1.0789e+00 -2.9842e+00 -2.1702e+00 +2.7604e+00 +1.4350e+00 -3.1208e+00 -5.4551e+00 -3.0485e+00 +5.7185e-01 -2.3364e+00 +3.4213e+00 -3.3877e+00 +6.4653e+00 +6.4181e-01 +3.5853e+00 -4.2878e+00
316 +3.949323975e+02 +3.949323975e+02 +1.394932397e+03 +1.394932397e+03 -3.9106e+00 +6.5038e+00 +2.9652e+00 +3.0542e+00 +1.6442e+00 -4.3685e+00 -3.7778e+00 +7.9665e-01 -1.3906e+00 +1.4064e-01 -5.2042e+00 -2.1470e+00 +1.6001e+00 -1.0560e+00 +3.2865e+00 +1.8585e+00 +6.5832e+00 +9.0352e-01 +5.3564e-01 -2.5354e+00
515 +2.454263459e+02 +2.454263459e+02 +1.245426346e+03 +1.245426346e+03 -1.2281e+00 +5.8271e+00 +3.5069e+00 +1.9007e+00 +3.3933e+00 -4.0511e+00 -1.9501e+00 -3.5646e-01 -3.3990e+00 -1.4192e-01 -4.2465e+00 -9.8450e-01 +9.8365e-01 -2.7154e+00 +3.7119e+00 +5.0842e+00 +4.7982e+00 +7.4750e-01 -1.0083e+00 -1.3204e+00
821 +1.582204684e+02 +1.582204684e+02 +1.158220468e+03 +1.158220468e+03 -1.1314e+00 +5.7878e+00 +3.3814e+00 +2.2370e+00 +3.0418e+00 -4.5195e+00 -2.1613e+00 -2.7969e-01 -3.3389e+00 -3.7545e-01 -4.1544e+00 -8.9823e-01 +8.9109e-01 -3.0735e+00 +3.2625e+00 +4.6794e+00 +4.3587e+00 +8.5650e-01 -1.3284e+00 -1.3613e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.168958631e+03 +2.168958631e+03 +2.238988631e+03 +2.238988631e+03 -1.9191e-01 +2.6280e+00 -7.3010e-01 +3.6144e+00 -2.7639e+00 -2.0146e+00 +2.1134e+00 -4.6028e+00 -2.9791e+00 +3.0484e+00 -3.7820e+00 -1.0646e+00 -1.5983e+00 +1.7620e+00 -1.4233e+00 +3.1782e+00 -9.6508e-01 +3.3623e+00 +4.8455e+00 -3.7352e+00
68 +1.548442142e+03 +1.548442142e+03 +1.618472142e+03 +1.618472142e+03 -7.6724e+00 -3.0139e+00 -4.6511e+00 +4.8690e+00 -5.1616e+00 +1.1536e+00 +2.5864e+00 -5.2176e+00 -1.9171e+00 +2.0632e+00 -5.6939e+00 +2.3134e+00 +3.4829e+00 +9.7125e-01 -3.7329e+00 +5.6726e+00 +2.5132e+00 +6.2908e+00 -2.4008e+00 +5.0978e+00
