% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.131124616e+02 +3.131124616e+02 +4.157224616e+02 +4.157224616e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +2.941123019e+02 +2.941123019e+02 +3.967223019e+02 +3.967223019e+02 +1.3879e-01 +4.4753e-01 +1.3905e-01 +8.0732e-01 +8.3592e-01 +6.8089e-01 +8.6093e-01 +1.4022e-01 +3.4367e-01 +1.4819e-01 +4.5360e-01 +5.8517e-02 +3.4713e-01 +7.9209e-02 +5.9845e-01 +5.1502e-01 +6.4186e-01 +9.1395e-01 +4.9190e-01 +7.4134e-01
6 +2.582191055e+02 +2.582191055e+02 +3.608291055e+02 +3.608291055e+02 +2.3398e-01 +5.9483e-01 +7.3753e-01 +3.6139e-01 +1.2999e-01 +8.9634e-01 +9.6618e-02 +6.6604e-01 +2.0493e-01 +9.2195e-01 +4.1879e-01 +9.3879e-01 +9.7176e-01 +8.0923e-01 +5.1116e-01 +5.0294e-01 +8.2586e-01 +9.3238e-01 +8.3761e-01 +2.1968e-03
88 +2.474945152e+02 +2.474945152e+02 +3.501045152e+02 +3.501045152e+02 +3.7038e-01 +6.6704e-01 +8.2106e-01 +2.7763e-01 +6.6553e-02 +8.8422e-01 +1.3122e-01 +1.6743e-01 +1.6645e-01 +1.7608e-01 +9.7364e-01 +3.2447e-01 +5.8986e-01 +9.7578e-01 +6.8297e-01 +4.8865e-01 +4.4886e-01 +2.6668e-01 +9.8898e-02 +9.2341e-01
190 +2.316731416e+02 +2.316731416e+02 +3.342831416e+02 +3.342831416e+02 +4.7965e-01 +5.0908e-01 +5.6557e-01 +7.5217e-01 +4.8907e-01 +8.6411e-01 +9.0706e-03 +7.2673e-02 +3.4072e-01 +6.1446e-01 +1.5123e-01 +5.0165e-01 +5.0881e-02 +9.6651e-02 +9.0823e-01 +3.6695e-01 +3.3229e-01 +1.3997e-01 +2.8229e-01 +3.6653e-01
283 +2.255736679e+02 +2.255736679e+02 +3.281836679e+02 +3.281836679e+02 +8.6398e-02 +4.7101e-02 +9.0010e-01 +3.4038e-01 +6.6126e-01 +2.5691e-01 +5.0132e-01 +5.0737e-01 +1.1396e-04 +8.1793e-01 +6.2905e-01 +4.1562e-01 +4.0970e-01 +8.2442e-01 +2.6716e-02 +7.0386e-01 +6.0872e-01 +7.3988e-01 +4.3016e-02 +2.0533e-01
729 +2.223130370e+02 +2.223130370e+02 +3.249230370e+02 +3.249230370e+02 +3.5266e-01 +3.8518e-01 +9.0306e-01 +6.8411e-02 +9.7179e-01 +5.5029e-01 +4.8771e-01 +8.3421e-02 +6.8706e-01 +2.8862e-01 +4.3180e-01 +9.6919e-01 +5.4217e-02 +8.6553e-01 +4.8552e-01 +3.2509e-01 +3.6493e-01 +7.6388e-01 +8.3775e-01 +4.0092e-01
2523 +2.017832608e+02 +2.017832608e+02 +3.043932608e+02 +3.043932608e+02 +8.1195e-01 +6.8638e-01 +9.7432e-01 +2.8886e-01 +2.0149e-01 +5.5026e-01 +5.9439e-01 +5.4132e-01 +1.7059e-01 +4.7824e-01 +1.6112e-01 +7.8689e-01 +6.9212e-01 +3.2894e-01 +6.1675e-02 +4.0593e-02 +7.9515e-01 +7.2645e-01 +1.1784e-01 +8.8463e-01
58231 +1.917624530e+02 +1.917624530e+02 +2.943724530e+02 +2.943724530e+02 +1.4321e-01 +9.4172e-02 +4.5956e-01 +6.2390e-01 +9.5206e-01 +6.4750e-01 +2.7163e-01 +3.9989e-02 +7.6466e-01 +8.4356e-02 +9.4967e-01 +2.9054e-01 +9.8973e-01 +9.9287e-02 +2.1325e-02 +2.2380e-02 +3.8330e-01 +1.2382e-01 +2.0544e-02 +2.6612e-01
94603 +1.784808286e+02 +1.784808286e+02 +2.810908286e+02 +2.810908286e+02 +9.4258e-02 +4.6154e-01 +9.9501e-01 +1.5878e-01 +9.5355e-01 +4.4146e-01 +3.1615e-01 +7.6131e-01 +8.2315e-01 +8.4356e-02 +3.0463e-01 +3.2341e-02 +9.8973e-01 +9.9287e-02 +6.1155e-01 +6.3223e-01 +3.8330e-01 +9.6177e-01 +2.9588e-01 +2.9831e-01
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.422558314e+02 +3.422558314e+02 +4.355558314e+02 +4.355558314e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +2.807184494e+02 +2.807184494e+02 +3.740184494e+02 +3.740184494e+02 +2.7521e-01 +2.3030e-01 +4.1723e-01 +7.3803e-01 +2.1916e-02 +6.6016e-01 +1.6673e-01 +2.3361e-01 +3.8846e-01 +1.9049e-02 +3.1502e-01 +5.5416e-01 +2.9424e-01 +9.0716e-01 +6.4509e-01 +4.3941e-02 +4.1313e-01 +3.8368e-01 +2.2440e-01 +4.3992e-01
6 +2.524593914e+02 +2.524593914e+02 +3.457593914e+02 +3.457593914e+02 +4.7048e-01 +9.6946e-01 +9.1809e-01 +6.3270e-01 +7.3614e-01 +3.6808e-01 +7.8307e-01 +5.1645e-01 +9.5272e-01 +8.0657e-01 +1.6630e-01 +1.0008e-01 +4.1893e-01 +2.8426e-01 +8.6456e-01 +3.4143e-01 +6.7873e-01 +2.2999e-01 +8.1083e-01 +7.3304e-02
7 +2.217551307e+02 +2.217551307e+02 +3.150551307e+02 +3.150551307e+02 +8.4857e-01 +4.4422e-01 +6.2051e-01 +9.2517e-01 +3.6577e-01 +6.7882e-01 +9.3889e-01 +6.1295e-02 +5.5114e-02 +9.3720e-01 +4.6347e-01 +6.8017e-01 +9.4808e-03 +5.5941e-01 +4.1712e-01 +6.2246e-01 +8.5746e-01 +9.9150e-01 +4.9322e-01 +6.4051e-01
14186 +2.112555628e+02 +2.112555628e+02 +3.045555628e+02 +3.045555628e+02 +2.9737e-01 +8.8300e-01 +4.9918e-01 +8.2584e-01 +9.8066e-01 +2.5894e-01 +4.9845e-01 +1.9045e-01 +1.5201e-01 +8.2814e-01 +2.4291e-01 +8.7788e-02 +9.2089e-01 +6.9285e-01 +9.3380e-01 +9.4145e-01 +5.2170e-01 +8.6798e-01 +5.9015e-01 +7.5633e-01
15181 +2.038391840e+02 +2.038391840e+02 +2.971391840e+02 +2.971391840e+02 +4.5114e-01 +8.3618e-01 +6.9453e-01 +9.7930e-01 +7.0842e-01 +1.3072e-02 +8.5169e-01 +2.4652e-01 +7.4118e-01 +5.8518e-01 +3.3719e-01 +2.2374e-02 +2.6520e-01 +2.0558e-02 +9.8550e-01 +7.7444e-01 +6.5048e-01 +3.2208e-02 +1.7562e-01 +8.8171e-01
58862 +1.852248112e+02 +1.852248112e+02 +2.785248112e+02 +2.785248112e+02 +8.5933e-01 +8.3618e-01 +9.0713e-01 +5.3874e-01 +7.4605e-01 +7.9801e-02 +4.8249e-02 +4.0685e-01 +6.5604e-01 +7.0951e-01 +5.6576e-02 +2.2374e-02 +5.8851e-01 +3.0477e-03 +9.8550e-01 +7.7444e-01 +6.5048e-01 +7.5361e-02 +8.4384e-01 +9.6027e-02
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.271130175e+02 +3.271130175e+02 +3.407530175e+02 +3.407530175e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +3.061686015e+02 +3.061686015e+02 +3.198086015e+02 +3.198086015e+02 +9.5708e-01 +8.5227e-01 +1.3760e-01 +1.4423e-01 +6.8135e-01 +2.3182e-01 +2.7527e-02 +7.3759e-01 +6.1690e-02 +3.9362e-01 +3.6553e-01 +9.1386e-01 +4.3454e-01 +9.8919e-01 +5.7721e-01 +2.0405e-01 +2.7560e-01 +4.0839e-01 +7.1530e-01 +3.3821e-01
4 +2.911738832e+02 +2.911738832e+02 +3.048138832e+02 +3.048138832e+02 +2.4063e-01 +9.8314e-01 +5.6738e-01 +4.8024e-02 +1.8186e-01 +9.8844e-01 +8.3540e-01 +2.2616e-01 +8.3360e-01 +1.5268e-02 +6.5965e-03 +3.0939e-01 +4.7569e-01 +2.3471e-01 +1.5607e-02 +2.4012e-01 +6.0869e-01 +9.3372e-01 +8.8458e-02 +5.7242e-02
16 +2.759140691e+02 +2.759140691e+02 +2.895540691e+02 +2.895540691e+02 +5.8620e-01 +6.2825e-01 +9.7029e-01 +2.0633e-01 +6.8543e-01 +3.7974e-01 +7.2286e-01 +7.5553e-01 +3.8637e-01 +9.0547e-01 +2.0439e-01 +8.3101e-01 +4.6294e-01 +2.5644e-01 +6.3093e-01 +2.1932e-01 +4.4386e-02 +1.7003e-01 +1.3654e-01 +9.3823e-01
17 +2.602587628e+02 +2.602587628e+02 +2.738987628e+02 +2.738987628e+02 +2.0653e-01 +5.8166e-01 +7.6305e-01 +1.6471e-02 +3.8618e-01 +7.6017e-01 +3.8568e-01 +5.5713e-01 +2.2327e-01 +7.4243e-01 +7.2161e-01 +2.7701e-01 +2.4342e-01 +7.2797e-01 +2.4587e-01 +5.5223e-01 +7.7686e-01 +4.5314e-01 +3.4720e-01 +4.4423e-01
48 +2.379775870e+02 +2.379775870e+02 +2.516175870e+02 +2.516175870e+02 +9.6186e-01 +6.5361e-01 +7.5585e-02 +4.1854e-01 +4.1587e-01 +8.6857e-01 +4.0337e-01 +7.7740e-02 +2.5910e-01 +5.5486e-01 +8.1855e-01 +1.6133e-01 +3.5500e-01 +6.1930e-01 +5.0742e-01 +2.9834e-01 +8.0258e-01 +8.9290e-01 +6.0416e-01 +3.8797e-01
7226 +1.703750288e+02 +1.703750288e+02 +1.840150288e+02 +1.840150288e+02 +6.8600e-01 +1.3142e-01 +9.4322e-02 +1.6449e-01 +5.5014e-02 +6.5113e-01 +3.0182e-02 +8.9788e-01 +5.6245e-01 +9.8953e-01 +3.8125e-01 +2.5009e-02 +5.6174e-01 +9.5781e-01 +1.3617e-01 +5.7249e-01 +7.7052e-01 +7.7509e-01 +4.9280e-02 +6.7231e-01
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
