% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.126843848e+06 +1.126843848e+06 +1.126879748e+06 +1.126879748e+06 +3.6984e+00 +5.9893e-01 +2.1543e+00 +4.9042e+00 -4.1373e+00 -6.7051e-01 -3.2722e+00 +3.9131e+00 -2.5444e+00 -2.3948e+00 +1.6927e+00 +3.3807e+00 -4.9385e-01 +3.3360e+00 +3.4992e+00 +1.2434e+00 -4.3365e+00 -2.3546e+00 -3.9166e+00 -2.0458e+00
33 +4.818065178e+05 +4.818065178e+05 +4.818424178e+05 +4.818424178e+05 +4.6552e-01 +6.7206e+00 +2.3880e+00 +8.4894e+00 -1.3774e+01 -1.1868e+01 -6.1606e+00 -9.4069e+00 +6.2176e+00 -2.7188e+00 +1.2275e+00 -2.9289e+00 -1.2462e+00 +7.7700e+00 +1.3308e+00 -5.6809e+00 -4.0275e+00 -2.8715e-01 -9.9106e+00 -2.3729e+00
53 +3.664732231e+05 +3.664732231e+05 +3.665091231e+05 +3.665091231e+05 -3.7606e+00 +8.1809e+00 +7.3026e+00 +1.1277e+01 -8.8985e+00 -8.2123e+00 -1.3178e+01 -1.4460e+01 +1.3968e+01 -8.7425e+00 +9.8435e-03 -2.8800e+00 -1.4368e+00 +3.1278e+00 +1.7884e+00 +1.6463e+00 +1.8100e+00 +6.9994e+00 -1.3979e+01 +1.6854e+00
78 +2.171990410e+05 +2.171990410e+05 +2.172349410e+05 +2.172349410e+05 -3.5456e+00 +1.1093e+01 +3.6283e+00 +1.1790e+01 -8.2751e+00 -8.9420e+00 -6.7212e+00 -1.8668e+01 +1.1646e+01 -8.1568e+00 -3.5430e+00 -5.0610e+00 -2.6812e+00 +3.0391e+00 -1.6351e+00 -2.4712e+00 -3.0958e-01 +8.6730e+00 -1.3280e+01 +1.7660e-01
96 +1.501185583e+05 +1.501185583e+05 +1.501544583e+05 +1.501544583e+05 -4.3440e+00 +9.7326e+00 +6.5377e+00 +1.2903e+01 -6.3303e+00 -1.3645e+01 -1.5868e+00 -1.7061e+01 +1.2610e+01 -4.6156e+00 -5.2522e+00 -8.2957e+00 -2.2494e+00 +3.0402e+00 +2.3039e+00 -6.1752e+00 +3.0402e+00 +1.0254e+01 -1.0361e+01 -6.6055e+00
100 +7.119795487e+03 +7.119795487e+03 +7.155695487e+03 +7.155695487e+03 +1.8049e-01 +9.8602e+00 +1.0347e+01 +1.6747e+01 -7.0373e+00 -1.4583e+01 +2.5528e+00 -1.3205e+01 +1.2731e+01 -7.5611e+00 -3.4201e+00 -1.1938e+01 -6.6441e+00 -1.4481e+00 +3.5856e+00 -1.3047e-01 +2.2298e+00 +1.5432e+01 -1.1928e+01 -3.6173e+00
110 +4.952104227e+03 +4.952104227e+03 +4.988004227e+03 +4.988004227e+03 +4.8235e+00 +1.4704e+01 +1.5024e+01 +1.5397e+01 -4.3034e+00 -1.7830e+01 -1.2515e-02 -1.4996e+01 +1.1617e+01 -1.1394e+01 -4.7463e+00 -1.5407e+01 -7.6466e+00 -8.9418e-01 +5.4017e+00 +2.3132e+00 -5.1895e-02 +1.5977e+01 -1.1082e+01 -3.9541e+00
124 +3.509268744e+03 +3.509268744e+03 +3.545168744e+03 +3.545168744e+03 +6.0481e+00 +1.2048e+01 +1.2476e+01 +1.5721e+01 -1.4593e+01 -1.7018e+01 -1.6512e+00 -1.5085e+01 +9.7696e+00 -1.3552e+01 -7.7295e+00 -1.3240e+01 -8.6977e+00 -4.3806e+00 +2.5151e+00 +5.7575e+00 -4.6218e+00 +1.6940e+01 -1.0534e+01 +1.8895e+00
126 +2.334386013e+03 +2.334386013e+03 +2.370286013e+03 +2.370286013e+03 +6.1812e+00 +1.0860e+01 +1.5192e+01 +1.2348e+01 -1.2635e+01 -2.0030e+01 +1.1014e+00 -1.3874e+01 +9.6215e+00 -1.7863e+01 -5.6364e+00 -1.7543e+01 -7.7359e+00 -2.4619e-01 +3.6528e+00 +6.4558e+00 -1.7059e+00 +1.4363e+01 -8.9882e+00 -7.3219e-01
217 +1.580845823e+03 +1.580845823e+03 +1.616745823e+03 +1.616745823e+03 +6.0804e+00 +1.1046e+01 +1.6634e+01 +1.1052e+01 -1.3790e+01 -1.3508e+01 -6.8637e-01 -1.2507e+01 +1.1962e+01 -1.6117e+01 +1.6888e-01 -1.4085e+01 -6.7532e+00 +3.9072e-01 -9.7837e-01 +4.4411e+00 -3.2652e+00 +1.3075e+01 -7.7311e+00 -6.6382e+00
