% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.423771670e+02 +6.423771670e+02 +1.642377167e+03 +1.642377167e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +6.046817528e+02 +6.046817528e+02 +1.604681753e+03 +1.604681753e+03 +3.5829e-01 +4.2127e-01 +9.8061e-01 +8.8533e-01 +4.9293e-01 +6.4596e-01 +8.2949e-01 +7.3715e-01 +9.8181e-01 +3.5626e-01 +4.7097e-01 +5.6080e-01 +2.7061e-01 +3.0546e-01 +3.9427e-03 +3.7897e-01 +2.1151e-01 +2.3435e-01 +6.1829e-01 +6.9296e-01
5 +5.807124996e+02 +5.807124996e+02 +1.580712500e+03 +1.580712500e+03 +8.1650e-01 +6.5364e-01 +7.0851e-02 +9.4706e-01 +1.4825e-01 +9.0459e-01 +6.8540e-01 +8.5283e-02 +4.8651e-02 +9.1041e-01 +5.2411e-01 +2.8558e-02 +4.2791e-01 +1.2395e-01 +6.4717e-01 +3.8272e-01 +7.3834e-01 +2.0893e-01 +5.5643e-01 +6.3208e-03
12 +5.607522262e+02 +5.607522262e+02 +1.560752226e+03 +1.560752226e+03 +6.5985e-02 +5.0511e-01 +2.3712e-01 +3.1347e-01 +4.0616e-01 +1.2467e-01 +2.0974e-01 +3.9305e-01 +8.5890e-01 +3.4029e-02 +1.0639e-01 +9.2342e-03 +4.1099e-01 +2.4222e-01 +5.5474e-01 +6.8194e-01 +7.7605e-01 +2.7506e-02 +9.3703e-02 +3.4627e-01
181 +5.494258605e+02 +5.494258605e+02 +1.549425861e+03 +1.549425861e+03 +9.7183e-01 +3.3337e-01 +4.3924e-01 +9.2908e-01 +5.1740e-01 +8.1787e-01 +6.8380e-01 +2.5225e-01 +4.1439e-02 +1.3861e-01 +9.5892e-01 +3.5609e-01 +7.2921e-01 +1.9914e-01 +8.2695e-01 +8.7754e-01 +8.7945e-01 +5.2583e-01 +5.0117e-01 +2.2585e-01
635 +5.190536337e+02 +5.190536337e+02 +1.519053634e+03 +1.519053634e+03 +3.7962e-01 +3.4505e-01 +8.9222e-01 +4.3659e-01 +9.2832e-01 +3.5770e-01 +5.6829e-01 +9.9336e-01 +2.4997e-01 +7.3506e-01 +5.7769e-01 +5.6475e-01 +1.9189e-02 +5.1972e-01 +6.2003e-01 +4.6337e-01 +8.9213e-02 +7.4406e-01 +5.9534e-01 +4.7404e-01
1456 +5.124023966e+02 +5.124023966e+02 +1.512402397e+03 +1.512402397e+03 +4.6378e-01 +2.0644e-01 +6.4923e-01 +6.4235e-01 +5.8850e-01 +1.3247e-02 +2.4431e-01 +7.1718e-01 +3.7895e-01 +6.0209e-01 +4.1976e-01 +1.2525e-01 +5.2718e-01 +1.9751e-01 +9.5906e-01 +5.5731e-01 +3.5620e-01 +4.8304e-03 +3.4557e-01 +9.2373e-01
1614 +4.911604221e+02 +4.911604221e+02 +1.491160422e+03 +1.491160422e+03 +4.2495e-01 +8.3827e-01 +9.3552e-01 +7.2600e-01 +3.1429e-01 +4.4036e-01 +7.2864e-02 +2.2951e-01 +3.8920e-01 +2.8768e-01 +5.8681e-01 +2.7842e-01 +8.1752e-01 +7.2347e-01 +9.0396e-01 +9.8037e-01 +5.2115e-01 +1.5001e-03 +2.9309e-02 +7.2324e-01
29234 +4.852495273e+02 +4.852495273e+02 +1.485249527e+03 +1.485249527e+03 +4.2495e-01 +8.5234e-01 +9.3552e-01 +7.2600e-01 +3.1429e-01 +4.4036e-01 +6.3610e-02 +2.2951e-01 +3.8920e-01 +2.8768e-01 +5.8681e-01 +2.7842e-01 +8.1752e-01 +7.2347e-01 +9.0396e-01 +9.8037e-01 +5.2115e-01 +1.5001e-03 +2.9309e-02 +8.5969e-01
75240 +4.781067496e+02 +4.781067496e+02 +1.478106750e+03 +1.478106750e+03 +4.2495e-01 +8.5234e-01 +9.3552e-01 +7.1314e-01 +8.0413e-01 +5.0400e-01 +2.9365e-02 +2.9259e-01 +1.4344e-03 +2.8768e-01 +5.8681e-01 +4.8725e-02 +8.1752e-01 +7.2347e-01 +9.0396e-01 +9.8037e-01 +5.2115e-01 +7.1231e-02 +2.9309e-02 +8.5969e-01
