% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.914077202e+02 +3.914077202e+02 +3.821977202e+02 +3.821977202e+02 +4.5275e+00 -7.9431e-01 -2.9699e+00 -2.5457e+00 +3.4724e+00 -4.7686e+00 -1.0635e-02 -3.0386e+00 +4.9586e+00 -3.1535e-01 -2.5236e+00 +4.1081e+00 -4.2001e+00 -3.2781e+00 -1.7877e+00 +4.5274e+00 -2.7655e-02 +4.2253e+00 -3.7562e+00 +1.1984e+00
18 +2.472193675e+02 +2.472193675e+02 +2.380093675e+02 +2.380093675e+02 -6.2409e-01 +3.3136e+00 -6.3244e-01 -1.1963e+01 +2.4843e+01 +1.1558e+01 +4.4614e+00 -5.6324e+00 +2.0852e+01 -1.4922e+01 -5.2187e+00 -1.7753e+01 -2.6899e+00 +1.8046e+01 -1.3699e+01 +1.1365e+01 +7.5066e+00 +9.3105e+00 -5.5783e+00 +1.7269e+01
40 +1.486003012e+02 +1.486003012e+02 +1.393903012e+02 +1.393903012e+02 +2.9745e+00 +2.0798e+01 -4.0927e+00 -1.1217e+01 +1.2638e+01 +1.2302e+01 +1.4362e+01 +1.1440e+01 +9.6314e+00 -2.5482e+01 -2.0885e+01 -4.7871e+00 +4.3030e+00 +2.8355e+01 +5.7315e+00 -2.6312e+00 +4.1234e+00 +1.3016e+01 -1.3759e+01 +3.4582e+01
52 +6.504849787e+01 +6.504849787e+01 +5.583849787e+01 +5.583849787e+01 +9.8781e+00 +1.5461e+01 -5.1259e-01 -1.8467e+01 -2.6185e-01 +1.5519e+01 +5.4870e+00 +2.0529e+01 +1.3582e+01 -3.1597e+01 -1.9431e+01 -1.4524e+01 +1.1288e+00 +4.4324e+01 -5.5452e+00 -1.2666e+01 +9.3835e+00 +7.7869e+00 -1.0794e+01 +2.5769e+01
57 +4.389769657e+01 +4.389769657e+01 +3.468769657e+01 +3.468769657e+01 +6.2057e+00 +1.8398e+01 +7.6006e+00 -2.2319e+01 -6.0034e+00 +1.6799e+01 +2.7768e+00 +2.7062e+01 +2.7067e+01 -3.2791e+01 -1.8090e+01 -2.2943e+01 +6.9867e+00 +4.3582e+01 -9.2768e+00 -1.5065e+01 +5.5851e+00 +1.1493e+01 -1.2203e+01 +2.3269e+01
70 +2.900411190e+01 +2.900411190e+01 +1.979411190e+01 +1.979411190e+01 +3.5519e+00 +1.1826e+01 +1.4075e+01 -1.0333e+01 -9.1285e+00 +2.4007e+01 +2.3420e+00 +2.5681e+01 +2.1537e+01 -2.0700e+01 -1.2215e+01 -1.4197e+01 +1.2184e+01 +4.7013e+01 -1.7812e+01 -1.9334e+01 +2.2916e+01 +2.5990e+01 -2.0354e+01 +3.0474e+01
77 +2.424691799e+01 +2.424691799e+01 +1.503691799e+01 +1.503691799e+01 +1.6436e+01 +2.6366e+01 +2.2049e+01 -1.0221e+01 -6.2743e+00 +2.3119e+01 +3.8634e+00 +3.6090e+01 +2.8802e+01 -2.4345e+01 -1.6036e+01 -2.8170e+01 +5.9654e+00 +3.3393e+01 -2.3935e+01 -2.7769e+01 +2.2606e+01 +2.9532e+01 -5.7177e+00 +2.5763e+01
78 +1.138201770e+01 +1.138201770e+01 +2.172017698e+00 +2.172017698e+00 +2.4101e+01 +2.5488e+01 +1.6121e+01 -1.4530e+00 -8.6282e+00 +2.9897e+01 +3.9852e+00 +2.8988e+01 +3.3745e+01 -2.1920e+01 -1.5003e+01 -2.9364e+01 +9.5645e+00 +2.6120e+01 -2.9514e+01 -3.2721e+01 +2.5212e+01 +3.4091e+01 -1.0403e+01 +3.0031e+01
80 +7.527734922e+00 +7.527734922e+00 -1.682265078e+00 -1.682265078e+00 +3.2824e+01 +2.0342e+01 +1.8727e+01 -2.3323e-01 -1.0232e+01 +2.0677e+01 +1.2264e+01 +3.3215e+01 +2.9888e+01 -2.5286e+01 -1.1280e+01 -3.1960e+01 +1.4260e+01 +3.0995e+01 -2.6230e+01 -2.3512e+01 +2.9655e+01 +2.3209e+01 -7.1901e+00 +4.3444e+01
81 +1.551106897e+00 +1.551106897e+00 -7.658893103e+00 -7.658893103e+00 +3.5642e+01 +1.7736e+01 +1.3805e+01 +8.1890e+00 -4.0448e+00 +1.6615e+01 +1.3467e+01 +4.2370e+01 +2.7415e+01 -2.6850e+01 -1.5723e+01 -2.4743e+01 +1.9528e+01 +2.8267e+01 -3.4556e+01 -2.8863e+01 +2.6353e+01 +1.9948e+01 -1.0826e+01 +4.1718e+01
86 +7.815970093e-14 +7.815970093e-14 -9.210000000e+00 -9.210000000e+00 +3.5784e+01 +1.8558e+01 +1.3864e+01 +1.4793e+01 -5.5001e+00 +2.4701e+01 +1.3004e+01 +3.9022e+01 +3.3952e+01 -3.2416e+01 -2.7629e+01 -2.3466e+01 +2.5621e+01 +1.9720e+01 -3.8501e+01 -3.0079e+01 +2.6942e+01 +2.5203e+01 -1.1260e+01 +3.9731e+01
% function evaluation | noise-free fitness - Fopt (6.559900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.335806766e+02 +3.335806766e+02 +9.895706766e+02 +9.895706766e+02 -4.3358e+00 -2.8829e-01 -1.3976e+00 -4.3417e+00 -3.3596e+00 -3.8663e+00 -4.9898e-01 -4.0168e+00 +2.1698e+00 -4.5028e+00 -2.5636e+00 -3.5727e+00 +1.8856e+00 -3.0180e+00 +1.4792e+00 +2.7185e+00 -5.7911e-01 +1.6826e+00 +1.7820e+00 +3.0381e+00
11 +1.982655281e+02 +1.982655281e+02 +8.542555281e+02 +8.542555281e+02 +1.0515e+01 +1.4846e+01 +8.6472e+00 -1.7781e+01 +2.8097e+00 -3.4835e+00 +6.1181e+00 +7.6006e-01 -1.2694e+01 -1.1618e+01 +1.6634e+00 +4.2547e+00 -3.4070e-01 -4.6447e+00 +5.9283e+00 +1.0437e+01 -1.3636e+01 -1.9302e+01 +1.5805e+01 +1.1285e+00
13 +1.552192083e+02 +1.552192083e+02 +8.112092083e+02 +8.112092083e+02 +2.0390e+00 +2.5679e+01 +3.1620e+00 -8.3122e+00 +6.3112e+00 -3.7678e+00 +3.8089e+00 +4.6220e+00 -1.5600e+01 -1.0305e+01 +3.3244e-01 +7.3620e+00 -3.8180e-01 -7.7242e+00 +3.2370e+00 +1.4540e+01 -1.3373e+01 -2.0363e+01 +1.7989e+01 +1.0861e+01
57 +9.137653916e+01 +9.137653916e+01 +7.473665392e+02 +7.473665392e+02 +1.7137e-01 +2.8914e+01 +1.2261e+01 -1.3261e+01 -1.1389e+01 -9.4903e+00 -1.1135e+01 +1.5351e+01 -2.8492e+01 -2.7789e+01 +9.2712e+00 +3.6923e+01 +1.0772e+01 -1.8952e+01 +5.2596e+00 +3.6464e+01 -2.4029e+01 -2.4564e+01 +5.2599e+00 +3.7461e+01
77 +5.055162964e+01 +5.055162964e+01 +7.065416296e+02 +7.065416296e+02 +1.3918e+01 +2.1122e+01 -1.2256e+00 +1.0529e+00 -8.9360e+00 -1.1177e+01 -2.7795e+01 +2.6682e+01 -2.6656e+01 -3.6753e+01 +1.2890e+01 +3.9663e+01 +1.1898e+01 -1.4362e+01 +3.0612e+00 +2.9744e+01 -2.2088e+01 -3.9794e+01 +6.9699e+00 +2.7812e+01
86 +3.852727560e+01 +3.852727560e+01 +6.945172756e+02 +6.945172756e+02 +4.6181e+00 +1.0849e+01 +6.2422e+00 +1.5780e+00 -6.0241e+00 -1.5818e+01 -3.1142e+01 +1.0066e+01 -1.8240e+01 -3.4981e+01 +1.1176e+01 +3.4713e+01 +9.3898e+00 -2.6942e+01 +8.4648e+00 +3.2225e+01 -2.3620e+01 -2.9778e+01 +4.8864e+00 +3.9930e+01
