% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.195003068e+02 +4.195003068e+02 +4.102903068e+02 +4.102903068e+02 +1.4878e+00 -2.9639e+00 +2.8167e+00 -7.9167e-01 +3.0606e+00 -1.1116e+00 +1.9363e+00 +1.5247e+00 +1.6191e+00 +1.0444e+00 +3.4263e-01 -4.1191e-01 -1.9128e+00 -3.9011e+00 -7.6358e-01 +6.8813e-02 +9.2274e-01 -4.3550e+00 +2.1735e+00 +4.7367e+00
4 +3.399087308e+02 +3.399087308e+02 +3.306987308e+02 +3.306987308e+02 +1.0477e+01 -1.2536e+01 +1.0434e+01 +3.1428e+00 +1.5773e+00 +3.4584e+00 +9.4104e+00 -6.1508e+00 +2.3046e+00 -3.3542e+00 -1.9040e+00 +1.9925e+00 +1.2768e+01 -6.1945e+00 -1.1457e+01 -1.8056e+00 -4.2665e-01 +1.3700e+00 -2.2462e+00 -1.4581e+00
12 +2.189793320e+02 +2.189793320e+02 +2.097693320e+02 +2.097693320e+02 +3.2379e+01 -9.8435e+00 +1.5018e+01 +5.6115e+00 -1.4505e+01 -9.5658e-01 +1.4220e+01 -1.5464e+01 +7.6140e+00 -1.2834e+01 -5.2723e+00 +4.4141e+00 +5.9075e+00 +6.7605e+00 -1.4214e+01 -4.5970e+00 -4.2686e+00 +1.8014e+01 -3.8468e-01 +1.2408e+01
26 +1.544871362e+02 +1.544871362e+02 +1.452771362e+02 +1.452771362e+02 +3.1509e+01 -1.0961e+01 +1.4618e+01 +7.8836e+00 -1.4380e+01 +1.7028e+00 +1.2782e+01 -1.1987e+01 +5.9841e+00 -1.9259e+01 +3.0909e+00 +3.5216e+00 +9.8775e+00 +8.6475e+00 -9.4218e+00 -1.1583e+00 +4.1701e+00 +2.6719e+01 -4.7950e+00 +1.1599e+01
50 +8.609409984e+01 +8.609409984e+01 +7.688409984e+01 +7.688409984e+01 +3.2790e+01 -7.5780e+00 +1.7753e+01 +7.0220e+00 -1.6943e+00 -5.9251e+00 +3.6364e+00 +2.6617e+00 +2.3020e+01 -2.4956e+01 +6.3754e+00 -5.6678e+00 +6.4909e+00 +1.2041e+01 -1.2415e+01 -1.4890e+01 +2.0517e+01 +2.5540e+01 -1.8736e+01 +9.8489e+00
61 +4.969609689e+01 +4.969609689e+01 +4.048609689e+01 +4.048609689e+01 +3.9124e+01 +3.5475e+00 +1.4651e+01 +1.5693e+01 -7.7498e+00 -2.8864e+00 +1.2724e+01 +2.7860e+00 +2.7517e+01 -2.6553e+01 +3.4616e+00 -6.9916e+00 +7.9230e+00 +1.3099e+01 -2.1522e+01 -9.4841e+00 +1.9466e+01 +1.7091e+01 -1.8795e+01 +1.4301e+01
78 +3.584002089e+01 +3.584002089e+01 +2.663002089e+01 +2.663002089e+01 +2.7690e+01 +1.7804e+01 +5.1374e+00 +1.3271e+01 +1.8849e+00 +6.5890e+00 +3.4036e+00 +3.6486e+00 +3.2792e+01 -1.1551e+01 -3.9168e+00 -1.3526e+01 +1.5988e+00 +1.2379e+01 -3.2272e+01 -1.4824e+01 +3.1188e+01 +1.6485e+01 -1.8163e+01 +1.3122e+01
102 +7.194417267e+00 +7.194417267e+00 -2.015582733e+00 -2.015582733e+00 +3.5989e+01 +2.2924e+01 +1.4714e+01 +8.0016e+00 -5.4663e+00 +4.4358e+00 +2.0228e+00 +1.3031e+01 +2.4678e+01 -2.9078e+01 -5.7089e+00 -7.0338e+00 +7.9915e+00 +7.1930e+00 -2.8181e+01 -2.4697e+01 +3.1401e+01 +2.0338e+01 -2.1307e+01 +1.9962e+01
110 +7.815970093e-14 +7.815970093e-14 -9.210000000e+00 -9.210000000e+00 +3.4718e+01 +3.0038e+01 +1.8548e+01 +1.2983e+01 -1.3794e+01 +1.2767e+01 +7.1440e+00 +1.3887e+01 +2.6499e+01 -2.7074e+01 -9.7256e+00 -5.6787e+00 +1.0067e+01 +6.8353e+00 -2.4565e+01 -2.5769e+01 +2.4975e+01 +1.1270e+01 -2.1761e+01 +2.0527e+01
% function evaluation | noise-free fitness - Fopt (6.559900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.703736272e+02 +3.703736272e+02 +1.026363627e+03 +1.026363627e+03 -7.4359e-01 -4.3001e+00 -6.6937e-01 +3.2194e+00 +2.2897e+00 +3.0877e+00 -2.3112e-01 -4.2004e+00 -3.6910e+00 +5.1509e-01 -2.0179e+00 -4.3090e+00 -1.1460e+00 -3.2137e+00 +2.6491e+00 -3.7604e+00 -4.2901e+00 +5.4970e-01 +1.3735e+00 +1.3345e+00
19 +2.375837466e+02 +2.375837466e+02 +8.935737466e+02 +8.935737466e+02 +1.9002e+01 +4.8411e+00 -1.4485e+00 +1.8236e+01 +3.4608e-01 +1.3184e+01 -7.9754e+00 -7.2811e+00 +4.9151e+00 -7.4207e+00 -5.8751e+00 +8.0266e-02 -4.8708e+00 -9.8732e-01 +9.2473e+00 +5.6988e+00 -1.9395e+01 -3.9476e+00 +6.4775e+00 +1.1278e+01
24 +1.518316849e+02 +1.518316849e+02 +8.078216849e+02 +8.078216849e+02 +1.0113e+01 +7.5523e+00 -7.2527e+00 +1.8789e+01 -7.0043e+00 +7.5908e+00 -1.6258e+01 -9.1718e+00 +5.2975e+00 -1.0515e+01 +3.9900e+00 -4.6545e+00 +4.5744e+00 -2.4138e+00 +5.7954e+00 +6.2052e+00 -2.1316e+01 -6.0024e+00 +1.3756e+01 +2.2181e+01
59 +8.163198555e+01 +8.163198555e+01 +7.376219855e+02 +7.376219855e+02 +1.5136e+01 +1.8726e+01 -2.6734e+01 +6.7889e+00 +6.5169e-01 +2.4973e+00 -2.6198e+01 +6.6449e+00 -3.1163e+00 -9.1849e+00 +7.9501e+00 +1.5491e-02 +3.1177e+00 -1.0781e+01 +7.4596e+00 +1.2986e+01 -3.2128e+01 -8.8801e+00 +8.8671e+00 +9.4650e+00
86 +5.938724181e+01 +5.938724181e+01 +7.153772418e+02 +7.153772418e+02 +2.0347e+01 +1.9708e+01 -2.9176e+01 +7.1588e+00 +3.4577e+00 -2.5943e+00 -2.9252e+01 +5.6341e+00 -8.9571e-02 -1.4121e+01 +8.5529e+00 +6.4605e+00 +9.7356e+00 -7.4318e+00 +1.4765e+01 +1.1304e+01 -3.2195e+01 -7.5175e+00 +1.2685e+01 +4.9594e+00
112 +3.969580433e+01 +3.969580433e+01 +6.956858043e+02 +6.956858043e+02 +2.2662e+01 +1.5985e+01 -3.4341e+01 +1.1363e+01 +4.8581e+00 -7.5765e+00 -3.1354e+01 +8.2981e+00 -1.4392e+01 -6.2274e+00 +1.0569e+01 +9.0623e+00 +9.1657e+00 -1.3151e+01 +1.4773e+01 +1.0936e+01 -3.8459e+01 -1.1226e+01 +1.2048e+01 +6.8795e+00
125 +1.227698429e+01 +1.227698429e+01 +6.682669843e+02 +6.682669843e+02 +1.2196e+01 +5.8758e+00 -4.4408e+01 +2.0992e+01 -7.5233e+00 -9.3112e+00 -2.5580e+01 +1.1040e+01 -2.4816e+01 -1.2863e+01 +2.2266e+01 +9.1279e+00 +1.0026e+01 -9.1367e+00 +1.5289e+01 +7.6528e+00 -3.2854e+01 -1.7376e+01 +1.0505e+01 +9.1078e+00
129 +8.882868952e+00 +8.882868952e+00 +6.648728690e+02 +6.648728690e+02 +1.5112e+01 +2.8690e+00 -4.9747e+01 +2.2887e+01 -1.3283e+01 -1.2691e+01 -3.0299e+01 +1.2515e+01 -2.1791e+01 -1.5594e+01 +1.7530e+01 +8.6957e+00 +6.4736e+00 -6.8339e+00 +1.4850e+01 +1.0214e+01 -3.3231e+01 -1.5684e+01 +1.0530e+01 +6.3624e+00
138 +2.044074342e+00 +2.044074342e+00 +6.580340743e+02 +6.580340743e+02 +1.4198e+01 -4.9044e+00 -4.2219e+01 +2.0397e+01 -1.6682e+01 -7.2295e+00 -3.5004e+01 +1.3859e+01 -2.3562e+01 -8.9668e+00 +2.3341e+01 +4.4895e+00 +1.1469e+01 -6.4530e+00 +1.5751e+01 +1.1037e+01 -3.3240e+01 -1.4849e+01 +1.6065e+01 +5.0398e+00
143 +0.000000000e+00 +0.000000000e+00 +6.559900000e+02 +6.559900000e+02 +1.8226e+01 -1.2002e+01 -4.4918e+01 +1.6673e+01 -1.2912e+01 -7.5091e+00 -3.4485e+01 +1.2013e+01 -2.5262e+01 -1.4868e+01 +2.4171e+01 +8.2637e+00 +1.6239e+01 -1.0273e+01 +1.5957e+01 +1.5404e+01 -3.1947e+01 -1.9245e+01 +1.9129e+01 +1.0561e+01
% function evaluation | noise-free fitness - Fopt (6.671000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.529912627e+02 +4.529912627e+02 +5.197012627e+02 +5.197012627e+02 -3.5694e+00 +3.1286e+00 -3.6204e+00 -2.0661e-01 +2.4618e+00 -1.1908e-01 +1.7648e+00 -4.5156e+00 +3.0799e-01 +2.9182e+00 +3.5514e+00 +2.2838e+00 +1.5215e+00 +6.6023e-01 +3.6741e+00 -3.0865e+00 +2.6311e+00 -1.0828e+00 +1.4727e+00 +2.0183e+00
2 +3.596064698e+02 +3.596064698e+02 +4.263164698e+02 +4.263164698e+02 -5.8395e+00 +7.9792e+00 -1.7520e+00 +7.0827e-01 -4.4489e+00 -4.4909e-01 -1.0112e+00 -7.3051e+00 -8.5856e+00 -7.7584e-01 +7.7279e+00 -3.1881e+00 +6.1128e+00 +2.0295e+00 +1.6963e+00 -2.6853e+00 -7.5449e+00 -9.5760e+00 -2.7909e+00 +6.8198e+00
5 +2.504945051e+02 +2.504945051e+02 +3.172045051e+02 +3.172045051e+02 -1.0495e+01 +1.1594e+01 -3.1196e+00 -2.9465e+00 +1.3286e+00 +6.9852e-01 -4.4427e-01 -6.1242e+00 -2.0935e+00 +5.0333e+00 +7.2853e+00 -4.0413e+00 +1.0411e+01 +6.7913e+00 +3.2891e-02 +4.0335e+00 -1.2926e+01 -1.6407e+01 -3.0940e+00 -3.0640e-01
11 +1.475997779e+02 +1.475997779e+02 +2.143097779e+02 +2.143097779e+02 -8.1403e+00 +1.0715e+01 -1.6606e+01 -5.3628e+00 -2.3503e-01 +2.2447e+00 -4.8752e+00 -1.3022e+01 -2.5726e-01 +2.0339e+00 +1.3336e+00 -6.4606e+00 +5.6233e+00 -4.4482e+00 +1.6916e+01 +2.1146e+01 -2.5630e+01 -1.4582e+01 -1.0508e+01 -4.9832e+00
19 +9.581748849e+01 +9.581748849e+01 +1.625274885e+02 +1.625274885e+02 -7.8626e+00 +1.2226e+01 -9.4498e+00 +7.7646e+00 -8.0095e+00 +5.1087e+00 -1.1155e+01 -1.1385e+01 -2.7176e+00 -3.5221e+00 +1.1933e+00 -6.1812e+00 +1.5662e+01 -1.3765e+00 +1.8882e+01 +2.5319e+01 -2.3144e+01 -1.4113e+01 -8.8752e+00 -1.4663e+01
23 +5.082902714e+01 +5.082902714e+01 +1.175390271e+02 +1.175390271e+02 -4.1721e+00 +1.0869e+01 -1.3376e+01 -3.1872e+00 -7.2714e+00 +1.2676e+01 -1.3509e+01 -1.6297e+01 +3.5541e-01 -1.1797e+01 -5.8156e+00 -2.8737e+00 +2.2924e+01 +5.6309e+00 +3.1505e+01 +2.4774e+01 -9.1535e+00 -1.6321e+01 -9.7896e+00 -1.5098e+01
25 +3.073138504e+01 +3.073138504e+01 +9.744138504e+01 +9.744138504e+01 -4.2612e+00 -7.1517e-01 -1.2294e+01 -2.4166e-01 -1.4308e+01 +2.3433e+01 -2.3167e+01 -2.3842e+01 +6.5683e+00 -5.1282e+00 -1.5520e+00 -4.0465e+00 +2.0688e+01 +1.2493e+01 +2.8445e+01 +2.0105e+01 -5.5927e+00 -2.5148e+01 -4.7274e+00 -6.0668e+00
118 +2.153681983e+01 +2.153681983e+01 +8.824681983e+01 +8.824681983e+01 -6.7337e-01 -7.3881e+00 -7.5458e+00 -6.9644e+00 -2.0577e+01 +1.7008e+01 -2.1654e+01 -1.1863e+01 +2.3385e+01 -6.7208e+00 -7.5121e+00 -6.1700e+00 +2.9223e+01 +8.8696e+00 +3.9584e+01 +1.5573e+01 -6.7820e+00 -3.6870e+01 -7.7248e+00 -9.9108e+00
122 +1.133541236e+01 +1.133541236e+01 +7.804541236e+01 +7.804541236e+01 -2.2686e+00 -1.0777e+01 -1.0499e+01 +1.8634e+00 -2.3986e+01 +2.2389e+01 -1.9467e+01 -1.0515e+01 +2.2311e+01 -6.3266e+00 -6.4961e+00 -4.9606e+00 +3.4699e+01 +4.1842e+00 +3.1901e+01 +1.2292e+01 -6.6390e+00 -4.7898e+01 -1.1504e+01 -7.7919e+00
